Local time,Open,High,Low,Close,Volume
13.06.2018 04:00:00.000 GMT-0700,1.17620,1.17660,1.17512,1.17556,10909.6904
13.06.2018 05:00:00.000 GMT-0700,1.17555,1.17758,1.17552,1.17742,13297.1396
13.06.2018 06:00:00.000 GMT-0700,1.17743,1.17819,1.17665,1.17677,13940.0703
13.06.2018 07:00:00.000 GMT-0700,1.17678,1.17809,1.17678,1.17716,14026.3604
13.06.2018 08:00:00.000 GMT-0700,1.17719,1.17881,1.17694,1.17827,11980.3398
13.06.2018 09:00:00.000 GMT-0700,1.17827,1.17919,1.17817,1.17905,10033.04
13.06.2018 10:00:00.000 GMT-0700,1.17907,1.17927,1.17834,1.17875,9614.5996
13.06.2018 11:00:00.000 GMT-0700,1.17872,1.17877,1.17254,1.17724,29858.1699
13.06.2018 12:00:00.000 GMT-0700,1.17722,1.18008,1.17722,1.17902,23742.8398
13.06.2018 13:00:00.000 GMT-0700,1.17901,1.17936,1.17857,1.17911,5197.6699
13.06.2018 14:00:00.000 GMT-0700,1.17910,1.17941,1.17870,1.17938,5882.9702
13.06.2018 15:00:00.000 GMT-0700,1.17935,1.18026,1.17918,1.17989,4033.9299
13.06.2018 16:00:00.000 GMT-0700,1.17988,1.18047,1.17953,1.18032,4193.6099
13.06.2018 17:00:00.000 GMT-0700,1.18030,1.18036,1.17921,1.17955,6292.4902
13.06.2018 18:00:00.000 GMT-0700,1.17954,1.18004,1.17899,1.17977,7196.5298
13.06.2018 19:00:00.000 GMT-0700,1.17977,1.17987,1.17895,1.17981,5082.8701
13.06.2018 20:00:00.000 GMT-0700,1.17983,1.18026,1.17949,1.18013,5216.77
13.06.2018 21:00:00.000 GMT-0700,1.18012,1.18060,1.18009,1.18040,3585.9399
13.06.2018 22:00:00.000 GMT-0700,1.18039,1.18107,1.18000,1.18028,7054.6099
13.06.2018 23:00:00.000 GMT-0700,1.18027,1.18166,1.17978,1.18141,10658.6797
14.06.2018 00:00:00.000 GMT-0700,1.18141,1.18197,1.18070,1.18176,11199.29
14.06.2018 01:00:00.000 GMT-0700,1.18176,1.18275,1.18131,1.18254,12591.0303
14.06.2018 02:00:00.000 GMT-0700,1.18255,1.18259,1.18142,1.18245,12729.6904
14.06.2018 03:00:00.000 GMT-0700,1.18246,1.18309,1.18201,1.18244,9860.6504
14.06.2018 04:00:00.000 GMT-0700,1.18246,1.18516,1.17385,1.17385,17551.5898
14.06.2018 05:00:00.000 GMT-0700,1.17385,1.17437,1.16847,1.16882,32351.2891
14.06.2018 06:00:00.000 GMT-0700,1.16883,1.16883,1.16520,1.16520,25982.3105
14.06.2018 07:00:00.000 GMT-0700,1.16521,1.16584,1.16191,1.16515,22232.2793
14.06.2018 08:00:00.000 GMT-0700,1.16513,1.16522,1.16284,1.16321,18043.1504
14.06.2018 09:00:00.000 GMT-0700,1.16322,1.16472,1.16181,1.16336,17013.3809
14.06.2018 10:00:00.000 GMT-0700,1.16334,1.16410,1.16010,1.16046,15161.4199
14.06.2018 11:00:00.000 GMT-0700,1.16046,1.16089,1.15900,1.15914,14215.7402
14.06.2018 12:00:00.000 GMT-0700,1.15913,1.16002,1.15845,1.15857,12860.4502
14.06.2018 13:00:00.000 GMT-0700,1.15858,1.15908,1.15628,1.15679,7358.7998
14.06.2018 14:00:00.000 GMT-0700,1.15679,1.15747,1.15644,1.15747,3858.96
14.06.2018 15:00:00.000 GMT-0700,1.15749,1.15846,1.15746,1.15834,3956.6101
14.06.2018 16:00:00.000 GMT-0700,1.15834,1.15841,1.15607,1.15633,6721.7598
14.06.2018 17:00:00.000 GMT-0700,1.15629,1.15680,1.15552,1.15591,8322.7002
14.06.2018 18:00:00.000 GMT-0700,1.15592,1.15701,1.15591,1.15690,7023.9102
14.06.2018 19:00:00.000 GMT-0700,1.15689,1.15698,1.15620,1.15661,5284.52
14.06.2018 20:00:00.000 GMT-0700,1.15661,1.15676,1.15614,1.15641,5421.1602
14.06.2018 21:00:00.000 GMT-0700,1.15639,1.15704,1.15639,1.15704,4153
14.06.2018 22:00:00.000 GMT-0700,1.15704,1.15756,1.15594,1.15615,6826.5898
14.06.2018 23:00:00.000 GMT-0700,1.15616,1.15718,1.15464,1.15687,15611.9697
15.06.2018 00:00:00.000 GMT-0700,1.15687,1.15923,1.15432,1.15894,19850.4297
15.06.2018 01:00:00.000 GMT-0700,1.15894,1.16001,1.15835,1.15921,15844.1201
15.06.2018 02:00:00.000 GMT-0700,1.15926,1.16153,1.15862,1.16027,16604.5605
15.06.2018 03:00:00.000 GMT-0700,1.16028,1.16065,1.15592,1.15946,18134.9805
15.06.2018 04:00:00.000 GMT-0700,1.15946,1.15996,1.15818,1.15880,12984.6201
15.06.2018 05:00:00.000 GMT-0700,1.15880,1.16110,1.15846,1.16031,15681.3096
15.06.2018 06:00:00.000 GMT-0700,1.16032,1.16263,1.15972,1.15985,19372.1406
15.06.2018 07:00:00.000 GMT-0700,1.15988,1.16269,1.15964,1.16177,18442.9004
15.06.2018 08:00:00.000 GMT-0700,1.16177,1.16267,1.16079,1.16154,15854.5703
15.06.2018 09:00:00.000 GMT-0700,1.16154,1.16179,1.16017,1.16051,11943.5596
15.06.2018 10:00:00.000 GMT-0700,1.16051,1.16106,1.16001,1.16103,8770.96
15.06.2018 11:00:00.000 GMT-0700,1.16104,1.16147,1.16057,1.16059,8906.5098
15.06.2018 12:00:00.000 GMT-0700,1.16058,1.16143,1.16039,1.16113,9321.1201
15.06.2018 13:00:00.000 GMT-0700,1.16114,1.16114,1.16049,1.16059,4735.5698
15.06.2018 14:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
15.06.2018 15:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
15.06.2018 16:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
15.06.2018 17:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
15.06.2018 18:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
15.06.2018 19:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
15.06.2018 20:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
15.06.2018 21:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
15.06.2018 22:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
15.06.2018 23:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
16.06.2018 00:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
16.06.2018 01:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
16.06.2018 02:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
16.06.2018 03:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
16.06.2018 04:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
16.06.2018 05:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
16.06.2018 06:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
16.06.2018 07:00:00.000 GMT-0700,1.16059,1.16059,1.16059,1.16059,0
